pmid,author,position
52358553,Nickerson B,4
66975380,Wiebe A,1
66975380,Mooney G,2
66975380,Nickerson B,3
66975380,Moulin A,4
66975380,Bagnasco L,5
66975380,Loupy C,6
14346684,Nickerson B,1
14346684,Wiebe A,2
14346684,Lefaucheur D,3
14346684,Tambur F,4
99635939,Wiebe A,1
99635939,Jordan E,2
99635939,Loupy C,3
99635939,Bertrand B,4
87161840,Wiebe A,1
87161840,Nickerson B,2
87161840,Lefaucheur D,3
26800072,Loupy C,1
26800072,Jordan E,2
26800072,Wiebe A,3
26800072,Claas H,4
26800072,Lefaucheur D,5
49920898,Wiebe A,1
49920898,Loupy C,2
49920898,Tambur F,3
49920898,Nickerson B,4
49920898,Claas H,5
49920898,Jordan E,6
49920898,Duquesnoy G,7
49920898,Lefaucheur D,8
53947691,Wiebe A,1
53947691,Loupy C,2
53947691,Nickerson B,3
53947691,Claas H,4
53947691,Sis G,5
53947691,Reed M,6
53947691,Duquesnoy G,7
53947691,Heidt J,8
59093843,Nickerson B,1
59093843,Loupy C,2
59093843,Wiebe A,3
59093843,Lefaucheur D,4
59093843,Claas H,5
59093843,Suberbielle E,6
77119320,Duquesnoy G,1
77119320,Nickerson B,2
77119320,Wiebe A,3
77119320,Tambur F,4
77119320,Jordan E,5
59440148,Jordan E,1
59440148,Wiebe A,2
59440148,Zachary N,3
59440148,Nickerson B,4
59440148,Claas H,5
85280948,Anglicheau N,1
85280948,Jordan E,2
85280948,Loupy C,3
85280948,Nickerson B,4
85280948,Wiebe A,5
85280948,Heidt J,6
85280948,Bray L,7
85280948,Thaunat R,8
48983895,Nickerson B,1
48983895,Wiebe A,2
48983895,Heidt J,3
48983895,Tambur F,4
48983895,Gebel K,5
73404979,Wiebe A,1
73404979,Jordan E,2
73404979,Lefaucheur D,3
73404979,Gebel K,4
73404979,Solez J,5
73404979,Randhawa E,6
73404979,Nickerson B,7
73404979,Sis G,8
63283709,Wiebe A,1
63283709,Nickerson B,2
63283709,Tambur F,3
34800912,Loupy C,1
34800912,Lefaucheur D,2
51178850,Wiebe A,1
51178850,Lefaucheur D,2
51178850,Loupy C,3
51178850,Tambur F,4
51178850,Heidt J,5
86866717,Wiebe A,1
86866717,Lefaucheur D,2
86866717,Reed M,3
86866717,Claas H,4
39246218,Lefaucheur D,1
39246218,Colvin F,2
39246218,Wiebe A,3
39246218,Halloran A,4
39246218,Loupy C,5
10466177,Loupy C,1
10466177,Nickerson B,2
90233330,Nickerson B,1
90233330,Loupy C,2
90233330,Duquesnoy G,3
90233330,Heidt J,4
90233330,Wiebe A,5
90233330,Sis G,6
90233330,Suberbielle E,7
90233330,Claas H,8
84721440,Wiebe A,1
84721440,Nickerson B,2
84721440,Halloran A,3
84721440,Loupy C,4
62132722,Wiebe A,1
62132722,Bray L,2
50693207,Nickerson B,1
50693207,Wiebe A,2
50693207,Lefaucheur D,3
50693207,Duquesnoy G,4
52980983,Duquesnoy G,1
52980983,Nickerson B,2
52980983,Loupy C,3
52980983,Lefaucheur D,4
96126771,Loupy C,1
96126771,Jordan E,2
96126771,Wiebe A,3
96126771,Kaplan T,4
96126771,Nickerson B,5
96126771,Montgomery P,6
96126771,Lefaucheur D,7
96126771,Bray L,8
98487646,Nickerson B,1
98487646,Wiebe A,2
98487646,Lefaucheur D,3
40314047,Duquesnoy G,1
40314047,Loupy C,2
38375916,Wiebe A,1
38375916,Nickerson B,2
38375916,Loupy C,3
38375916,Jordan E,4
38375916,Mengel D,5
17207013,Wiebe A,1
17207013,Jordan E,2
17207013,Loupy C,3
17207013,Reed M,4
58412365,Wiebe A,1
58412365,Loupy C,2
58412365,Nickerson B,3
58412365,Tambur F,4
58412365,Lefaucheur D,5
32442197,Wiebe A,1
32442197,Tambur F,2
32442197,Reed M,3
32442197,Loupy C,4
32442197,Nickerson B,5
32442197,Einecke C,6
32442197,Colvin F,7
32442197,Bertrand B,8
36957830,Nickerson B,1
36957830,Lefaucheur D,2
36957830,Wiebe A,3
36957830,Thaunat R,4
36957830,Duquesnoy G,5
66791272,Wiebe A,1
66791272,Moulin A,2
66791272,Duquesnoy G,3
66791272,Loupy C,4
66791272,Bray L,5
69831384,Wiebe A,1
69831384,Gebel K,2
69831384,Lefaucheur D,3
69831384,Loupy C,4
13031322,Loupy C,1
13031322,Wiebe A,2
13031322,Nickerson B,3
87490324,Wiebe A,1
87490324,Lefaucheur D,2
87490324,Nickerson B,3
27978165,Loupy C,1
27978165,Mooney G,2
27978165,Nickerson B,3
27978165,Wiebe A,4
27978165,Lefaucheur D,5
17195581,Wiebe A,1
17195581,Nickerson B,2
17195581,Lefaucheur D,3
17195581,Jordan E,4
17195581,Kaplan T,5
17195581,Heidt J,6
59239353,Wiebe A,1
59239353,Reed M,2
59239353,Nickerson B,3
59239353,Bray L,4
59239353,Heidt J,5
59239353,Sellares B,6
81441519,Wiebe A,1
81441519,Nickerson B,2
81441519,Lefaucheur D,3
81441519,Loupy C,4
81441519,Randhawa E,5
94879557,Lefaucheur D,1
94879557,Loupy C,2
94879557,Wiebe A,3
94879557,Heidt J,4
94879557,Nickerson B,5
94879557,Jordan E,6
48063218,Wiebe A,1
48063218,Bagnasco L,2
48063218,Nickerson B,3
48063218,Gebel K,4
31337593,Wiebe A,1
31337593,Nickerson B,2
31337593,Loupy C,3
31337593,Lefaucheur D,4
69735865,Tambur F,1
69735865,Gebel K,2
69735865,Nickerson B,3
69735865,Loupy C,4
39158087,Nickerson B,1
39158087,Loupy C,2
39158087,Duquesnoy G,3
39158087,Lefaucheur D,4
39158087,Bray L,5
62579931,Wiebe A,1
62579931,Duquesnoy G,2
62579931,Gebel K,3
62579931,Bagnasco L,4
62579931,Heidt J,5
77249653,Duquesnoy G,1
77249653,Loupy C,2
77249653,Wiebe A,3
77249653,Heidt J,4
77249653,Gebel K,5
33574794,Wiebe A,1
33574794,Nickerson B,2
33574794,Bray L,3
33574794,Duquesnoy G,4
33574794,Loupy C,5
33574794,Claas H,6
40655922,Zachary N,1
40655922,Lefaucheur D,2
40655922,Wiebe A,3
40655922,Nickerson B,4
40655922,Tambur F,5
86710258,Wiebe A,1
86710258,Jordan E,2
36229153,Nickerson B,1
36229153,Wiebe A,2
36229153,Tambur F,3
71533194,Wiebe A,1
71533194,Zachary N,2
71533194,Loupy C,3
71533194,Lefaucheur D,4
71533194,Nickerson B,5
71533194,Morelon S,6
71533194,Jordan E,7
71533194,Einecke C,8
26205010,Wiebe A,1
26205010,Nickerson B,2
26205010,Lefaucheur D,3
26205010,Meier-Kriesche V,4
26205010,Loupy C,5
26205010,Dubois T,6
26205010,Colvin F,7
26205010,Gebel K,8
26301180,Wiebe A,1
26301180,Montgomery P,2
26301180,Bray L,3
26301180,Nickerson B,4
26301180,Rabant M,5
26301180,Loupy C,6
63015826,Nickerson B,1
63015826,Reed M,2
63015826,Wiebe A,3
63015826,Loupy C,4
63015826,Tambur F,5
61338023,Wiebe A,1
61338023,Bray L,2
61338023,Lefaucheur D,3
61338023,Loupy C,4
61338023,Duquesnoy G,5
61338023,Nickerson B,6
39448924,Wiebe A,1
39448924,Bertrand B,2
39448924,Kaplan T,3
39448924,Lefaucheur D,4
39448924,Nickerson B,5
80658723,Wiebe A,1
80658723,Racusen H,2
80658723,Loupy C,3
80658723,Nickerson B,4
80658723,Jordan E,5
80658723,Lefaucheur D,6
80658723,Duquesnoy G,7
80658723,Caillard V,8
86884584,Randhawa E,1
86884584,Tambur F,2
86884584,Loupy C,3
86884584,Lefaucheur D,4
86884584,Wiebe A,5
19099261,Nickerson B,1
19099261,Jordan E,2
19099261,Wiebe A,3
19099261,Tambur F,4
19099261,Kaplan T,5
19099261,Loupy C,6
55358959,Stegall R,1
55358959,Nickerson B,2
55358959,Loupy C,3
55358959,Wiebe A,4
55358959,Lefaucheur D,5
93898287,Nickerson B,1
93898287,Wiebe A,2
15988382,Wiebe A,1
15988382,Loupy C,2
15988382,Jordan E,3
86868410,Wiebe A,1
86868410,Garrigue C,2
86868410,Loupy C,3
52916049,Lefaucheur D,1
52916049,Meier-Kriesche V,2
52916049,Stegall R,3
52916049,Nickerson B,4
52916049,Wiebe A,5
65148727,Wiebe A,1
65148727,Loupy C,2
65148727,Nickerson B,3
65148727,Meier-Kriesche V,4
28036919,Nickerson B,1
28036919,Wiebe A,2
28036919,Lefaucheur D,3
28036919,Duquesnoy G,4
28036919,Loupy C,5
28036919,Sis G,6
36724061,Wiebe A,1
36724061,Zachary N,2
36724061,Nickerson B,3
36724061,Kaplan T,4
36724061,Loupy C,5
39709238,Meier-Kriesche V,1
39709238,Loupy C,2
39709238,Lefaucheur D,3
39709238,Wiebe A,4
39709238,Mengel D,5
72639147,Wiebe A,1
72639147,Tambur F,2
72639147,Haas K,3
72639147,Jordan E,4
28781020,Nickerson B,1
28781020,Wiebe A,2
28781020,Tambur F,3
28781020,Zachary N,4
28781020,Reed M,5
59886371,Wiebe A,1
59886371,Nickerson B,2
59886371,Jordan E,3
59886371,Claas H,4
59886371,Racusen H,5
59886371,Tambur F,6
33732951,Nickerson B,1
33732951,Wiebe A,2
33732951,Duquesnoy G,3
33732951,Reed M,4
35578773,Wiebe A,1
35578773,Nickerson B,2
35578773,Bray L,3
35578773,Duquesnoy G,4
35578773,Lefaucheur D,5
35578773,Sis G,6
64142310,Wiebe A,1
64142310,Nickerson B,2
64142310,Kaplan T,3
64142310,Loupy C,4
64142310,Lefaucheur D,5
98916958,Nickerson B,1
98916958,Wiebe A,2
98916958,Bray L,3
74513622,Bagnasco L,1
74513622,Wiebe A,2
74513622,Nickerson B,3
74513622,Stegall R,4
51970837,Wiebe A,1
51970837,Reed M,2
51970837,Nickerson B,3
51970837,Jordan E,4
51970837,Morelon S,5
51970837,Lefaucheur D,6
25174194,Wiebe A,1
25174194,Nickerson B,2
25174194,Heidt J,3
25174194,Loupy C,4
25174194,Colvin F,5
25174194,Claas H,6
96087848,Nickerson B,1
96087848,Wiebe A,2
96087848,Gaston S,3
96087848,Loupy C,4
97694240,Wiebe A,1
97694240,Heidt J,2
97694240,Jordan E,3
97694240,Claas H,4
97694240,Loupy C,5
97694240,Lefaucheur D,6
49189370,Jordan E,1
49189370,Loupy C,2
49189370,Wiebe A,3
49189370,Lefaucheur D,4
81184297,Wiebe A,1
81184297,Jordan E,2
81184297,Claas H,3
81184297,Nickerson B,4
81184297,Lefaucheur D,5
81184297,Tambur F,6
36962876,Lefaucheur D,1
36962876,Claas H,2
36962876,Wiebe A,3
36962876,Gaston S,4
36830448,Lefaucheur D,1
36830448,Nickerson B,2
36830448,Wiebe A,3
36830448,Gaston S,4
36830448,Kaplan T,5
36830448,Jordan E,6
93290380,Wiebe A,1
93290380,Loupy C,2
93290380,Tambur F,3
93290380,Nickerson B,4
90111922,Wiebe A,1
90111922,Kaplan T,2
90111922,Tambur F,3
90111922,Loupy C,4
69816445,Wiebe A,1
69816445,Nickerson B,2
69816445,Randhawa E,3
69816445,Loupy C,4
69816445,Claas H,5
69816445,Morelon S,6
82176148,Wiebe A,1
82176148,Reed M,2
82176148,Einecke C,3
25878730,Wiebe A,1
25878730,Reed M,2
25878730,Nickerson B,3
25878730,Loupy C,4
25878730,Jordan E,5
25878730,Kaplan T,6
25878730,Sellares B,7
25878730,Colvin F,8
50004466,Wiebe A,1
50004466,Nickerson B,2
50004466,Kaplan T,3
50004466,Loupy C,4
87926229,Wiebe A,1
87926229,Jordan E,2
87926229,Reed M,3
87926229,Rabant M,4
87926229,Nickerson B,5
28026223,Lefaucheur D,1
28026223,Bray L,2
28026223,Claas H,3
28026223,Nickerson B,4
28026223,Duquesnoy G,5
97766064,Tambur F,1
97766064,Nickerson B,2
97766064,Wiebe A,3
97766064,Duquesnoy G,4
97766064,Jordan E,5
97766064,Loupy C,6
39369404,Wiebe A,1
39369404,Legendre P,2
39369404,Tambur F,3
39369404,Nickerson B,4
39369404,Zachary N,5
60554391,Nickerson B,1
60554391,Wiebe A,2
60554391,Loupy C,3
60554391,Lefaucheur D,4
60554391,Zachary N,5
98732634,Wiebe A,1
98732634,Jordan E,2
98732634,Nickerson B,3
98732634,Lefaucheur D,4
98732634,Loupy C,5
70291054,Wiebe A,1
70291054,Nickerson B,2
70291054,Halloran A,3
70291054,Tambur F,4
22507745,Wiebe A,1
22507745,Bray L,2
22507745,Sellares B,3
22507745,Zachary N,4
22507745,Jordan E,5
22507745,Loupy C,6
79761254,Lefaucheur D,1
79761254,Wiebe A,2
79761254,Bray L,3
79761254,Loupy C,4
79761254,Nickerson B,5
28531242,Wiebe A,1
28531242,Randhawa E,2
92405066,Wiebe A,1
92405066,Nickerson B,2
92405066,Loupy C,3
92405066,Jordan E,4
79490249,Wiebe A,1
79490249,Nickerson B,2
79490249,Lefaucheur D,3
79490249,Legendre P,4
71836850,Wiebe A,1
71836850,Loupy C,2
71836850,Gebel K,3
87002404,Wiebe A,1
87002404,Bagnasco L,2
87002404,Lefaucheur D,3
76080806,Nickerson B,1
76080806,Wiebe A,2
76080806,Gebel K,3
76080806,Loupy C,4
53679307,Wiebe A,1
53679307,Loupy C,2
53679307,Lefaucheur D,3
53679307,Duquesnoy G,4
53679307,Moulin A,5
53679307,Gebel K,6
84536479,Wiebe A,1
84536479,Jordan E,2
84536479,Lefaucheur D,3
84536479,Loupy C,4
84536479,Gebel K,5
84536479,Nickerson B,6
22925420,Loupy C,1
22925420,Nickerson B,2
22925420,Legendre P,3
22925420,Wiebe A,4
22925420,Tambur F,5
69985944,Wiebe A,1
69985944,Nickerson B,2
69985944,Heidt J,3
69985944,Lefaucheur D,4
65564671,Wiebe A,1
65564671,Loupy C,2
65564671,Bray L,3
65564671,Nickerson B,4
48141360,Wiebe A,1
48141360,Legendre P,2
48141360,Duquesnoy G,3
94697764,Wiebe A,1
94697764,Reed M,2
94697764,Montgomery P,3
94697764,Loupy C,4
50213043,Wiebe A,1
50213043,Nickerson B,2
50213043,Claas H,3
50213043,Tambur F,4
50213043,Gaston S,5
50213043,Heidt J,6
95482292,Lefaucheur D,1
95482292,Loupy C,2
95482292,Wiebe A,3
55890766,Tambur F,1
55890766,Duquesnoy G,2
55890766,Wiebe A,3
55890766,Gebel K,4
55890766,Nickerson B,5
55890766,Stegall R,6
53360807,Jordan E,1
53360807,Nickerson B,2
43382936,Loupy C,1
43382936,Wiebe A,2
43382936,Sellares B,3
43382936,Gebel K,4
43382936,Nickerson B,5
68720256,Nickerson B,1
68720256,Wiebe A,2
68720256,Montgomery P,3
68720256,Tambur F,4
68720256,Reed M,5
68720256,Randhawa E,6
82337519,Wiebe A,1
82337519,Gaston S,2
82337519,Nickerson B,3
82337519,Tambur F,4
82337519,Loupy C,5
82337519,Gebel K,6
16588161,Nickerson B,1
16588161,Jordan E,2
16588161,Heidt J,3
16588161,Wiebe A,4
16588161,Loupy C,5
86507818,Nickerson B,1
86507818,Loupy C,2
86507818,Sellares B,3
86507818,Montgomery P,4
86507818,Wiebe A,5
91659860,Bertrand B,1
91659860,Wiebe A,2
91659860,Loupy C,3
91659860,Nickerson B,4
84311410,Wiebe A,1
84311410,Loupy C,2
84311410,Jordan E,3
65904597,Wiebe A,1
65904597,Nickerson B,2
65904597,Reed M,3
65904597,Jordan E,4
73868130,Suberbielle E,1
73868130,Nickerson B,2
73868130,Wiebe A,3
73868130,Lefaucheur D,4
73868130,Tambur F,5
53048774,Wiebe A,1
53048774,Claas H,2
53048774,Nickerson B,3
53048774,Heidt J,4
53048774,Loupy C,5
82209870,Wiebe A,1
82209870,Lefaucheur D,2
82209870,Solez J,3
82209870,Nickerson B,4
82209870,Bray L,5
61878269,Nickerson B,1
61878269,Wiebe A,2
61878269,Jordan E,3
77276832,Randhawa E,1
77276832,Nickerson B,2
77276832,Loupy C,3
77276832,Wiebe A,4
70286467,Wiebe A,1
70286467,Lefaucheur D,2
70286467,Heidt J,3
65197277,Loupy C,1
65197277,Wiebe A,2
65197277,Jordan E,3
65197277,Duquesnoy G,4
75960711,Nickerson B,1
75960711,Wiebe A,2
75960711,Tambur F,3
75960711,Lefaucheur D,4
75960711,Duquesnoy G,5
75960711,Loupy C,6
92074794,Nickerson B,1
92074794,Wiebe A,2
92074794,Claas H,3
92074794,Loupy C,4
92074794,Jordan E,5
92293489,Bray L,1
92293489,Heidt J,2
92293489,Wiebe A,3
92293489,Loupy C,4
92293489,Duquesnoy G,5
92293489,Claas H,6
60825385,Wiebe A,1
60825385,Nickerson B,2
60825385,Randhawa E,3
60825385,Thaunat R,4
60825385,Loupy C,5
60825385,Stegall R,6
60825385,Lefaucheur D,7
60825385,Heidt J,8
70899748,Loupy C,1
70899748,Claas H,2
70899748,Wiebe A,3
70899748,Colvin F,4
70899748,Nickerson B,5
70899748,Tambur F,6
71114408,Wiebe A,1
71114408,Nickerson B,2
71114408,Loupy C,3
71114408,Lefaucheur D,4
57493391,Lefaucheur D,1
57493391,Wiebe A,2
57493391,Tambur F,3
57493391,Loupy C,4
57493391,Nickerson B,5
57493391,Claas H,6
51308532,Zachary N,1
51308532,Jordan E,2
51308532,Nickerson B,3
51308532,Wiebe A,4
51308532,Heidt J,5
65559839,Nickerson B,1
65559839,Heidt J,2
65559839,Loupy C,3
65559839,Wiebe A,4
65559839,Gebel K,5
65559839,Colvin F,6
65559839,Gaston S,7
65559839,Zachary N,8
39009803,Heidt J,1
39009803,Wiebe A,2
39009803,Loupy C,3
39009803,Reed M,4
27812995,Lefaucheur D,1
27812995,Wiebe A,2
27812995,Gebel K,3
27812995,Tambur F,4
27812995,Nickerson B,5
27812995,Loupy C,6
30041488,Wiebe A,1
30041488,Loupy C,2
30041488,Sellares B,3
30041488,Jordan E,4
30041488,Nickerson B,5
16772091,Wiebe A,1
16772091,Bray L,2
16772091,Duquesnoy G,3
16772091,Nickerson B,4
16772091,Lefaucheur D,5
29289997,Duquesnoy G,1
29289997,Wiebe A,2
29289997,Loupy C,3
29289997,Jordan E,4
53737494,Rabant M,1
53737494,Nickerson B,2
53737494,Wiebe A,3
53737494,Gebel K,4
84502610,Reed M,1
84502610,Loupy C,2
84502610,Wiebe A,3
84502610,Nickerson B,4
84502610,Lefaucheur D,5
84502610,Gebel K,6
36261929,Wiebe A,1
36261929,Loupy C,2
36261929,Tambur F,3
24723458,Wiebe A,1
24723458,Loupy C,2
24723458,Sis G,3
24723458,Stegall R,4
28022414,Nickerson B,1
28022414,Wiebe A,2
28022414,Jordan E,3
28022414,Kaplan T,4
28022414,Lefaucheur D,5
28022414,Loupy C,6
28022414,Gebel K,7
28022414,Tambur F,8
77340900,Lefaucheur D,1
77340900,Wiebe A,2
77340900,Jordan E,3
77340900,Loupy C,4
77340900,Claas H,5
77340900,Nickerson B,6
81810948,Nickerson B,1
81810948,Wiebe A,2
81810948,Tambur F,3
81810948,Loupy C,4
81810948,Lefaucheur D,5
27021671,Wiebe A,1
27021671,Gebel K,2
27021671,Nickerson B,3
27021671,Loupy C,4
21328172,Wiebe A,1
21328172,Loupy C,2
21328172,Nickerson B,3
23068017,Wiebe A,1
23068017,Duquesnoy G,2
23068017,Nickerson B,3
43808923,Loupy C,1
43808923,Wiebe A,2
43808923,Jordan E,3
43808923,Solez J,4
43808923,Claas H,5
43808923,Sis G,6
47216895,Wiebe A,1
47216895,Gebel K,2
47216895,Nickerson B,3
47216895,Claas H,4
69845276,Nickerson B,1
69845276,Wiebe A,2
69845276,Meier-Kriesche V,3
69845276,Zachary N,4
69845276,Montgomery P,5
69845276,Tambur F,6
69845276,Loupy C,7
69845276,Dubois T,8
58173202,Wiebe A,1
58173202,Nickerson B,2
35429494,Taupin D,1
35429494,Wiebe A,2
35429494,Nickerson B,3
35429494,Montgomery P,4
97758252,Loupy C,1
97758252,Wiebe A,2
97758252,Duquesnoy G,3
55277425,Wiebe A,1
55277425,Loupy C,2
55277425,Nickerson B,3
55277425,Jordan E,4
55277425,Bray L,5
55277425,Lefaucheur D,6
12097866,Wiebe A,1
12097866,Nickerson B,2
12097866,Gebel K,3
12097866,Duquesnoy G,4
94180238,Wiebe A,1
94180238,Nickerson B,2
94180238,Loupy C,3
94180238,Lefaucheur D,4
94180238,Randhawa E,5
99945021,Wiebe A,1
99945021,Meier-Kriesche V,2
99945021,Claas H,3
99945021,Jordan E,4
53772726,Wiebe A,1
53772726,Claas H,2
53772726,Jordan E,3
53772726,Dubois T,4
66133052,Wiebe A,1
66133052,Claas H,2
66133052,Heidt J,3
66133052,Nickerson B,4
66133052,Lefaucheur D,5
66133052,Gebel K,6
66072388,Wiebe A,1
66072388,Loupy C,2
66072388,Nickerson B,3
66072388,Mooney G,4
64406548,Nickerson B,1
64406548,Wiebe A,2
64406548,Gebel K,3
64406548,Claas H,4
64406548,Lefaucheur D,5
72458605,Loupy C,1
72458605,Jordan E,2
72458605,Lefaucheur D,3
72458605,Wiebe A,4
72458605,Colvin F,5
72458605,Tambur F,6
77303492,Mengel D,1
77303492,Wiebe A,2
77303492,Nickerson B,3
94191586,Nickerson B,1
94191586,Loupy C,2
94191586,Duquesnoy G,3
94191586,Wiebe A,4
16351040,Wiebe A,1
16351040,Nickerson B,2
16351040,Bray L,3
16351040,Heidt J,4
26306114,Lefaucheur D,1
26306114,Reed M,2
26306114,Wiebe A,3
26306114,Jordan E,4
26306114,Nickerson B,5
36268513,Wiebe A,1
36268513,Nickerson B,2
36268513,Lefaucheur D,3
36268513,Jordan E,4
31983567,Wiebe A,1
31983567,Tambur F,2
31983567,Nickerson B,3
31983567,Loupy C,4
50532800,Reed M,1
50532800,Loupy C,2
50532800,Wiebe A,3
94288202,Wiebe A,1
94288202,Loupy C,2
94288202,Randhawa E,3
78969993,Nickerson B,1
78969993,Wiebe A,2
66015266,Wiebe A,1
66015266,Heidt J,2
66015266,Nickerson B,3
40410305,Nickerson B,1
40410305,Wiebe A,2
40410305,Colvin F,3
40410305,Loupy C,4
40410305,Jordan E,5
90771151,Nickerson B,1
90771151,Wiebe A,2
90771151,Gaston S,3
90771151,Reed M,4
90771151,Tambur F,5
82091897,Lefaucheur D,1
82091897,Wiebe A,2
82091897,Loupy C,3
82091897,Tambur F,4
51876858,Wiebe A,1
51876858,Lefaucheur D,2
51876858,Duquesnoy G,3
51876858,Nickerson B,4
51876858,Jordan E,5
32645646,Lefaucheur D,1
32645646,Tambur F,2
32645646,Halloran A,3
32645646,Wiebe A,4
32645646,Claas H,5
29780216,Nickerson B,1
29780216,Wiebe A,2
29780216,Lefaucheur D,3
98728736,Wiebe A,1
98728736,Nickerson B,2
98728736,Duquesnoy G,3
98728736,Sellares B,4
86350455,Bagnasco L,1
86350455,Wiebe A,2
86350455,Nickerson B,3
86350455,Loupy C,4
56324312,Loupy C,1
56324312,Wiebe A,2
12984525,Wiebe A,1
12984525,Legendre P,2
12984525,Nickerson B,3
49905650,Wiebe A,1
49905650,Bray L,2
49905650,Loupy C,3
49905650,Jordan E,4
49905650,Nickerson B,5
87422596,Duquesnoy G,1
87422596,Wiebe A,2
87422596,Stegall R,3
87422596,Einecke C,4
87422596,Jordan E,5
87422596,Montgomery P,6
31553261,Wiebe A,1
31553261,Nickerson B,2
31553261,Loupy C,3
31553261,Jordan E,4
31553261,Sellares B,5
75208604,Nickerson B,1
75208604,Claas H,2
75208604,Mengel D,3
75208604,Kaplan T,4
75208604,Wiebe A,5
75208604,Einecke C,6
75208604,Loupy C,7
75208604,Lefaucheur D,8
46849119,Wiebe A,1
46849119,Loupy C,2
46849119,Duquesnoy G,3
46849119,Mengel D,4
95758290,Wiebe A,1
95758290,Loupy C,2
95758290,Zachary N,3
31520919,Nickerson B,1
31520919,Wiebe A,2
31520919,Loupy C,3
31520919,Lefaucheur D,4
89727494,Duquesnoy G,1
89727494,Nickerson B,2
89727494,Wiebe A,3
89727494,Loupy C,4
36610839,Montgomery P,1
36610839,Wiebe A,2
36610839,Tambur F,3
36610839,Nickerson B,4
48649601,Wiebe A,1
48649601,Loupy C,2
48649601,Nickerson B,3
48649601,Gebel K,4
48649601,Reed M,5
48649601,Lefaucheur D,6
48649601,Heidt J,7
48649601,Solez J,8
61471888,Nickerson B,1
61471888,Wiebe A,2
85102924,Rabant M,1
85102924,Nickerson B,2
85102924,Haas K,3
85102924,Wiebe A,4
45328305,Wiebe A,1
45328305,Lefaucheur D,2
45328305,Nickerson B,3
45328305,Sis G,4
25098270,Wiebe A,1
25098270,Mengel D,2
25098270,Nickerson B,3
25098270,Tambur F,4
25098270,Loupy C,5
25098270,Jordan E,6
62904575,Mooney G,1
62904575,Reed M,2
62904575,Jordan E,3
62904575,Wiebe A,4
62904575,Gaston S,5
62904575,Bray L,6
62904575,Nickerson B,7
62904575,Kaplan T,8
21970652,Wiebe A,1
21970652,Loupy C,2
21970652,Nickerson B,3
21970652,Duquesnoy G,4
90576371,Wiebe A,1
90576371,Nickerson B,2
16052535,Duquesnoy G,1
16052535,Wiebe A,2
16052535,Loupy C,3
16052535,Heidt J,4
16052535,Nickerson B,5
16052535,Gaston S,6
38329117,Heidt J,1
